Time,GeneralEvent,Forehead_Acc_X,Forehead_Acc_Y,Forehead_Acc_Z,Forehead_Gyr_X,Forehead_Gyr_Y,Forehead_Gyr_Z
1.86 sec,Standing,1.352588,-9.811977,-0.04971,0.021709,-0.028409,0.009039
1.87 sec,Standing,1.395417,-9.817104,-0.080442,0.021899,-0.025658,0.005815
1.88 sec,Standing,1.371762,-9.810441,-0.073527,0.026706,-0.024645,0.008337
1.89 sec,Standing,1.376615,-9.780203,-0.086463,0.030149,-0.024154,0.008719
1.9 sec,Standing,1.367604,-9.802213,-0.091136,0.031511,-0.023631,0.010852
1.91 sec,Standing,1.404342,-9.837824,-0.105536,0.03061,-0.022406,0.011038
1.92 sec,Standing,1.406394,-9.799175,-0.140885,0.033336,-0.02136,0.015308
1.93 sec,Standing,1.445279,-9.843355,-0.132213,0.034332,-0.019502,0.01004
1.94 sec,Standing,1.45889,-9.872245,-0.141126,0.037807,-0.014292,0.015267
1.95 sec,Standing,1.480145,-9.879357,-0.142221,0.042988,-0.011196,0.018257
1.96 sec,Standing,1.49888,-9.878041,-0.165434,0.049108,-0.001193,0.018979
1.97 sec,Standing,1.490018,-9.827895,-0.14078,0.055036,0.006066,0.022917
1.98 sec,Standing,1.459266,-9.851773,-0.114547,0.061737,0.007708,0.019962
1.99 sec,Standing,1.446116,-9.759423,-0.046604,0.063663,0.01306,0.019334
2 sec,Standing,1.45126,-9.65699,-0.028949,0.06544,0.0238,0.019844
2.01 sec,Standing,1.443553,-9.687579,-0.006759,0.064014,0.028333,0.020681
2.02 sec,Standing,1.462193,-9.686346,-0.027914,0.060701,0.035646,0.020046
2.03 sec,Standing,1.421244,-9.698062,0.056565,0.058751,0.043487,0.02154
2.04 sec,Standing,1.423421,-9.74063,0.020846,0.058164,0.051859,0.02516
2.05 sec,Standing,1.384297,-9.78618,0.040502,0.058353,0.054598,0.021907
2.06 sec,Standing,1.417537,-9.813806,0.007705,0.064183,0.062193,0.023946
2.07 sec,Standing,1.382035,-9.820778,-0.009932,0.072528,0.066764,0.021715
2.08 sec,Standing,1.34208,-9.785374,0.014565,0.067133,0.074123,0.022795
2.09 sec,Standing,1.325864,-9.83775,0.030858,0.07146,0.073389,0.022947
2.1 sec,Standing,1.290521,-9.844698,0.013743,0.075091,0.076612,0.020046
2.11 sec,Standing,1.245151,-9.839289,0.054283,0.074075,0.073421,0.013529
2.12 sec,Standing,1.210808,-9.846105,0.037301,0.077858,0.071248,0.00952
2.13 sec,Standing,1.217921,-9.824277,0.053076,0.08167,0.060629,0.009501
2.14 sec,Standing,1.140167,-9.825381,0.068792,0.086436,0.056904,0.007167
2.15 sec,Standing,1.163514,-9.75965,0.099183,0.087499,0.041844,0.009851
2.16 sec,Standing,1.189718,-9.782969,0.149458,0.088538,0.035225,0.008545
